Size,Male,English,Adult,NUST,Arrival,Affiliate,Employed,U,V,y,Simulated_V,Optimal_V,theta,theta_original,Simulated_Y,Successful_match
1,1,1,1,0,2014-09-01,6,0,8,3,0,3,3,0.2963005397489914,0.2963005397489914,0,0
1,1,1,0,0,2016-10-01,13,0,4,5,0,5,5,0.6085007699205213,0.6085007699205213,0,0
1,1,1,1,0,2015-09-01,26,0,8,8,1,8,8,0.4712752162076691,0.4712752162076691,1,0
1,1,1,1,0,2015-01-01,30,1,8,9,1,9,9,0.7792245637102155,0.7792245637102155,1,0
1,1,1,1,0,2014-08-01,39,1,8,10,1,10,10,0.627317674607358,0.627317674607358,1,0
1,1,1,1,0,2014-08-01,30,1,8,9,0,9,9,0.7792245637102155,0.7792245637102155,0,0
1,1,1,1,0,2015-04-01,45,1,8,13,0,13,13,0.6729691579584586,0.6729691579584586,0,0
1,1,1,1,0,2014-09-01,3,0,8,2,0,2,2,0.2640003141093337,0.2640003141093337,0,0
1,1,1,0,1,2014-06-01,8,1,4,4,0,9,4,0.4780186325212733,0.4780186325212733,1,1
1,1,1,1,0,2015-10-01,8,0,8,4,1,4,4,0.4590782597387315,0.4590782597387315,1,0
1,1,1,1,1,2014-06-01,55,0,8,17,0,7,14,0.3277099296717538,0.3277099296717538,1,1
1,1,1,0,1,2014-09-01,8,1,4,4,1,14,14,0.4780186325212733,0.4780186325212733,0,1
1,1,1,1,0,2014-06-01,6,1,8,3,0,3,3,0.2963005397489914,0.2963005397489914,0,0
1,1,1,1,0,2014-08-01,46,1,8,14,0,14,14,0.6316387682097876,0.6316387682097876,0,0
1,1,1,1,0,2019-03-01,55,0,8,17,1,17,17,0.3277099296717538,0.3277099296717538,1,0
1,1,1,1,0,2014-07-01,55,1,8,17,0,17,17,0.3277099296717538,0.3277099296717538,0,0
1,1,1,1,0,2014-12-01,8,0,8,4,1,4,4,0.4590782597387315,0.4590782597387315,1,0
1,1,1,0,0,2014-10-01,8,1,4,4,0,4,4,0.4780186325212733,0.4780186325212733,0,0
1,1,1,1,0,2014-11-01,6,0,8,3,0,3,3,0.2963005397489914,0.2963005397489914,0,0
1,1,1,1,0,2015-01-01,8,1,8,4,1,4,4,0.4590782597387315,0.4590782597387315,1,0
1,1,1,1,1,2016-04-01,2,0,8,1,1,5,5,0.34395645165596855,0.34395645165596855,0,1
1,1,1,1,0,2014-09-01,6,1,8,3,0,3,3,0.2963005397489914,0.2963005397489914,0,0
1,1,1,1,0,2014-09-01,8,1,8,4,0,4,4,0.4590782597387315,0.4590782597387315,0,0
1,1,0,0,1,2014-06-01,8,1,2,4,1,4,16,0.16293641863204936,0.16293641863204936,1,1
1,0,1,1,0,2014-12-01,3,0,7,2,0,2,2,0.2104460012958627,0.2104460012958627,0,0
